"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"337","65 a 69 anos",26,67.935726702616,0.383604623822941,0.13773565269678,0.516396396396396,0.684515435227549,0.199534379950586,3.88542596279261,1582.48754931598,3.80193568124299,NA,34.2594677467335,2014,0.17505320244388,0.0387176494817052,0.1296995492094,0.0858332761264044,0.523672227180156,0.047024095558454,1,NA,1,1,1
"338","65 a 69 anos",27,67.901466992665,0.503863080684597,0.106748166259169,0.393504059962523,0.698080684596577,0.148496332518337,4.33643245022215,2168.04580847406,3.80192166621118,NA,32.1517195984861,2014,0.119549119631397,0.0121770610498601,0.0714990949481652,0.0478031923646536,0.707010037847622,0.0419614941583018,1,1,1,1,1
"339","65 a 69 anos",28,67.8278932399913,0.341763290308466,0.203894115073288,0.514245679588977,0.709253992561803,0.164843579085539,4.04629018572641,1807.29870394938,3.93041760883877,NA,35.4190628830018,2014,0.125483171490525,0.076364664843971,0.088903554256623,0.0578863014990101,0.638352031677194,0.0130102762326765,1,NA,1,1,1
"340","65 a 69 anos",29,67.9155105975671,0.435756798400409,0.20609294877957,0.413421166932098,0.72411718983886,0.143836876841906,4.42662432582287,1203.11024556083,3.86413779461664,NA,34.9156509904733,2014,0.115590503553607,0.00544382277332527,0.06739250970311,0.0366550733403901,0.698160189525682,0.0767579011038863,1,NA,1,1,1
"341","65 a 69 anos",31,67.8436008195065,0.211655760506398,0.194487532914675,0.391392190950524,0.682275917227837,0.186234026886092,3.75536538275176,2067.82715459134,3.72707994428788,NA,34.6914727873154,2014,0.182516194920498,0.0979000648542271,0.0828866840108239,0.103990398592589,0.483812534011197,0.0488941236106659,1,1,1,1,1
"342","65 a 69 anos",32,67.9287696777831,0.200182141463203,0.188776616505486,0.613570103366022,0.690294462032178,0.219025109501713,4.18367138404946,2432.27225187929,3.81727977099762,NA,34.3499208092781,2014,0.141266029734839,0.0159403259592296,0.0977366780769427,0.0646809380268738,0.623665253154856,0.056710775047259,1,NA,1,1,1
"343","65 a 69 anos",33,67.8098399452381,0.0717580569152394,0.177324371459137,0.631483646198629,0.691042368246346,0.331619157038041,3.20726525921111,2484.97169820259,3.79981219306891,NA,38.5282291872745,2014,0.293408322263987,0.0992943880771368,0.119888081847215,0.087169921525403,0.394511488567956,0.00572779771830163,1,1,1,1,1
"344","65 a 69 anos",35,67.9289270676461,0.101133325137536,0.189650244337216,0.570750308422745,0.634353197897778,0.24927083013185,3.35801433691756,3061.30211326761,3.65119636902957,NA,36.3315734767025,2014,0.301594982078853,0.0552652329749104,0.101802867383513,0.0933440860215054,0.420853046594982,0.0271397849462366,1,1,1,1,1
"345","65 a 69 anos",41,67.8096772412359,0.163698489981389,0.184541229127216,0.493684210526316,0.653712359156416,0.151602750449043,3.7271184269519,1815.54935810072,3.76400219964215,NA,35.1886729007878,2014,0.22737462371101,0.0472522897585346,0.0861141356561839,0.0925510792288478,0.503554730032665,0.0431531416127586,1,NA,1,1,1
"346","65 a 69 anos",42,67.8886329556171,0.0934963748512066,0.127882469945017,0.624014125956445,0.639592705386451,0.168050252240275,3.75194314901177,2290.41784904064,3.81605335153224,NA,36.6651861721815,2014,0.222185209860093,0.0700644015101044,0.0790584055074395,0.0284254941150344,0.562846990894959,0.0374194981123695,1,NA,1,1,1
