ANO_ELEICAO,NR_TURNO,CD_MUNICIPIO,SG_UF,DS_CARGO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
2022,2,4685,PA,Presidente,NÃO ELEITO,1702
2022,2,4693,PA,Presidente,ELEITO,14866
2022,2,4693,PA,Presidente,NÃO ELEITO,5029
2022,2,4707,PA,Presidente,ELEITO,13415
2022,2,4707,PA,Presidente,NÃO ELEITO,22799
2022,2,4715,PA,Presidente,ELEITO,21526
2022,2,4715,PA,Presidente,NÃO ELEITO,35796
2022,2,4723,PA,Presidente,ELEITO,6037
2022,2,4723,PA,Presidente,NÃO ELEITO,9673
2022,2,4731,PA,Presidente,ELEITO,13904
2022,2,4731,PA,Presidente,NÃO ELEITO,9058
2022,2,4740,PA,Presidente,ELEITO,6397
2022,2,4740,PA,Presidente,NÃO ELEITO,1911
2022,2,4758,PA,Presidente,ELEITO,13198
2022,2,4758,PA,Presidente,NÃO ELEITO,10431
2022,2,4766,PA,Presidente,ELEITO,7329
2022,2,4766,PA,Presidente,NÃO ELEITO,2634
2022,2,4774,PA,Presidente,ELEITO,16528
2022,2,4774,PA,Presidente,NÃO ELEITO,11557
2022,2,4782,PA,Presidente,ELEITO,3208
2022,2,4782,PA,Presidente,NÃO ELEITO,3609
2022,2,4790,PA,Presidente,ELEITO,12610
2022,2,4790,PA,Presidente,NÃO ELEITO,4613
2022,2,4804,PA,Presidente,ELEITO,6068
2022,2,4804,PA,Presidente,NÃO ELEITO,5618
2022,2,4812,PA,Presidente,ELEITO,4193
2022,2,4812,PA,Presidente,NÃO ELEITO,1803
2022,2,4820,PA,Presidente,ELEITO,3122
2022,2,4820,PA,Presidente,NÃO ELEITO,1349
2022,2,4839,PA,Presidente,ELEITO,63908
2022,2,4839,PA,Presidente,NÃO ELEITO,74985
2022,2,4847,PA,Presidente,ELEITO,1769
2022,2,4847,PA,Presidente,NÃO ELEITO,1691
2022,2,4855,PA,Presidente,ELEITO,13178
2022,2,4855,PA,Presidente,NÃO ELEITO,5961
2022,2,4863,PA,Presidente,ELEITO,6351
2022,2,4863,PA,Presidente,NÃO ELEITO,9152
2022,2,4871,PA,Presidente,ELEITO,11646
2022,2,4871,PA,Presidente,NÃO ELEITO,5642
2022,2,4898,PA,Presidente,ELEITO,7562
2022,2,4898,PA,Presidente,NÃO ELEITO,3603
2022,2,4910,PA,Presidente,ELEITO,15451
2022,2,4910,PA,Presidente,NÃO ELEITO,5320
2022,2,4936,PA,Presidente,ELEITO,30445
2022,2,4936,PA,Presidente,NÃO ELEITO,11761
2022,2,4952,PA,Presidente,ELEITO,18240
2022,2,4952,PA,Presidente,NÃO ELEITO,19420
2022,2,4979,PA,Presidente,ELEITO,15680
2022,2,4979,PA,Presidente,NÃO ELEITO,4999
2022,2,4995,PA,Presidente,ELEITO,6429
2022,2,4995,PA,Presidente,NÃO ELEITO,2388
2022,2,5010,PA,Presidente,ELEITO,19876
2022,2,5010,PA,Presidente,NÃO ELEITO,8577
2022,2,5037,PA,Presidente,ELEITO,14518
2022,2,5037,PA,Presidente,NÃO ELEITO,3587
2022,2,5053,PA,Presidente,ELEITO,19101
2022,2,5053,PA,Presidente,NÃO ELEITO,14432
2022,2,5070,PA,Presidente,ELEITO,9050
2022,2,5070,PA,Presidente,NÃO ELEITO,3112
2022,2,5096,PA,Presidente,ELEITO,22155
2022,2,5096,PA,Presidente,NÃO ELEITO,32193
2022,2,5118,PA,Presidente,ELEITO,4680
2022,2,5118,PA,Presidente,NÃO ELEITO,1940
2022,2,5134,PA,Presidente,ELEITO,12129
2022,2,5134,PA,Presidente,NÃO ELEITO,4140
2022,2,5150,PA,Presidente,ELEITO,16351
2022,2,5150,PA,Presidente,NÃO ELEITO,8354
2022,2,5177,PA,Presidente,ELEITO,9949
2022,2,5177,PA,Presidente,NÃO ELEITO,5928
2022,2,5193,PA,Presidente,ELEITO,11140
2022,2,5193,PA,Presidente,NÃO ELEITO,8220
2022,2,5215,PA,Presidente,ELEITO,5905
2022,2,5215,PA,Presidente,NÃO ELEITO,1935
2022,2,5231,PA,Presidente,ELEITO,17053
2022,2,5231,PA,Presidente,NÃO ELEITO,9136
2022,2,5258,PA,Presidente,ELEITO,10453
2022,2,5258,PA,Presidente,NÃO ELEITO,4183
2022,2,5274,PA,Presidente,ELEITO,3063
2022,2,5274,PA,Presidente,NÃO ELEITO,1177
2022,2,5290,PA,Presidente,ELEITO,20526
2022,2,5290,PA,Presidente,NÃO ELEITO,17392
